"id","educ","majorcol","rincome","race","sex"
1,14,12,NA,1,1
2,10,NA,NA,1,2
3,16,72,12,1,1
4,16,NA,12,1,2
5,18,NA,NA,2,1
6,16,33,NA,1,2
7,13,NA,10,2,2
8,12,NA,12,1,1
9,8,NA,2,1,2
10,12,NA,12,1,1
11,19,20,12,1,1
12,14,NA,10,3,2
13,13,NA,NA,1,2
14,16,NA,12,2,1
15,12,NA,NA,2,2
16,12,NA,9,1,2
17,16,NA,12,1,2
18,16,11,NA,1,2
19,20,NA,12,1,2
20,18,NA,NA,1,1
21,15,NA,12,1,2
22,14,NA,NA,3,2
23,14,36,12,1,2
24,12,NA,12,1,1
25,16,16,10,1,2
26,8,NA,NA,1,1
27,12,NA,12,1,2
28,9,NA,NA,2,2
29,12,NA,NA,1,2
30,14,NA,9,1,1
31,12,NA,NA,1,2
32,8,NA,NA,1,1
33,16,1,NA,1,2
34,16,52,12,1,2
35,10,NA,NA,1,2
36,18,NA,12,1,1
37,20,50,NA,1,2
38,20,NA,12,1,1
39,19,51,12,1,1
40,12,NA,NA,2,2
41,12,NA,9,1,2
42,12,NA,12,1,1
43,12,NA,NA,1,2
44,18,NA,NA,3,1
45,16,NA,12,1,2
46,12,NA,12,1,2
47,18,9,12,1,1
48,18,NA,NA,1,2
49,17,25,NA,1,1
50,16,36,NA,1,2
51,14,NA,NA,1,1
52,12,NA,12,1,2
53,18,36,12,1,2
54,18,NA,12,3,2
55,16,NA,NA,1,1
56,14,NA,12,1,1
57,16,17,NA,1,2
58,14,NA,8,2,2
59,11,NA,12,1,1
60,9,NA,6,2,2
61,13,NA,3,2,2
62,10,NA,11,2,2
63,16,7,12,2,2
64,13,NA,NA,2,2
65,12,NA,NA,2,1
66,20,20,NA,2,1
67,14,NA,12,1,1
68,14,NA,NA,2,2
69,19,55,12,2,2
70,16,19,NA,2,2
71,15,NA,NA,1,1
72,16,NA,12,2,1
73,16,32,NA,3,2
74,20,NA,12,1,2
75,14,NA,7,1,1
76,14,57,12,2,2
77,16,NA,12,1,2
78,8,NA,NA,1,2
79,14,NA,NA,3,2
80,NA,NA,NA,3,2
81,16,16,NA,2,2
82,12,61,NA,2,2
83,12,NA,10,3,2
84,13,NA,12,1,2
85,12,NA,11,1,1
86,17,70,12,2,1
87,13,NA,1,3,2
88,16,NA,NA,1,1
89,18,NA,12,1,1
90,18,28,8,3,1
91,16,NA,12,1,1
92,19,19,10,1,2
93,16,NA,NA,3,1
94,12,NA,NA,2,2
95,16,36,12,2,2
96,14,NA,NA,2,1
97,13,NA,NA,2,2
98,16,20,12,2,1
99,12,NA,NA,3,2
100,4,NA,NA,1,2
101,12,NA,12,3,1
102,12,NA,NA,3,2
103,18,NA,12,3,1
104,14,NA,NA,1,2
105,18,NA,12,1,1
106,14,NA,12,1,1
107,12,NA,12,1,1
108,12,NA,NA,1,2
109,16,NA,NA,1,2
110,14,NA,NA,1,2
111,14,NA,12,1,2
112,12,NA,9,1,2
113,14,NA,NA,1,1
114,12,NA,NA,1,2
115,16,NA,12,1,1
116,17,80,NA,1,1
117,8,NA,NA,2,1
118,14,NA,NA,1,2
119,13,NA,9,1,2
120,13,NA,12,1,1
121,12,NA,NA,1,2
122,12,NA,12,1,2
123,16,NA,9,1,2
124,16,NA,12,1,2
125,16,9,12,1,1
126,18,9,12,3,1
127,20,42,12,1,2
128,16,NA,NA,1,2
129,18,9,12,1,1
130,18,NA,12,1,2
131,12,NA,NA,1,2
132,20,15,NA,1,2
133,17,6,12,1,1
134,15,NA,12,1,1
135,13,NA,12,1,1
136,12,NA,NA,3,2
137,16,NA,8,3,1
138,16,NA,12,3,2
139,12,NA,8,1,2
140,15,NA,9,1,2
141,14,NA,12,1,1
142,17,NA,8,1,1
143,11,NA,NA,3,1
144,12,NA,NA,2,1
145,12,NA,12,3,1
146,12,NA,NA,2,1
147,12,NA,12,2,1
