"id","educ","majorcol","rincome","race","sex"
148,17,NA,9,2,2
149,14,NA,NA,1,1
150,19,NA,12,1,2
151,16,NA,12,2,2
152,13,NA,NA,2,2
153,12,NA,NA,2,2
154,16,NA,10,3,2
155,8,NA,12,3,1
156,11,NA,2,3,2
157,12,NA,12,1,2
158,14,NA,6,3,2
159,7,NA,7,3,2
160,2,NA,9,1,2
161,11,NA,NA,3,2
162,12,NA,NA,1,2
163,12,NA,12,3,2
164,15,NA,NA,3,2
165,6,NA,NA,1,2
166,13,NA,NA,1,2
167,9,NA,NA,1,1
168,16,NA,NA,3,1
169,18,NA,12,1,1
170,13,NA,12,1,1
171,12,NA,7,1,1
172,14,NA,12,3,1
173,13,NA,12,1,2
174,16,42,NA,1,2
175,20,NA,NA,1,1
176,16,NA,NA,3,2
177,18,12,12,1,2
178,14,NA,12,1,1
179,16,17,12,3,1
180,14,NA,NA,1,1
181,12,NA,NA,2,2
182,16,NA,NA,1,2
183,20,29,12,1,1
184,17,1,12,1,1
185,16,23,12,3,1
186,14,NA,2,1,2
187,11,NA,12,1,2
188,16,80,12,3,1
189,14,NA,NA,1,2
190,13,NA,12,3,1
191,12,NA,12,3,1
192,18,NA,NA,1,2
193,6,NA,NA,1,1
194,16,51,12,3,2
195,11,NA,NA,1,1
196,16,9,12,1,1
197,12,NA,11,3,2
198,12,NA,11,1,1
199,16,NA,12,1,2
200,14,NA,9,1,2
201,16,18,12,3,1
202,13,NA,12,1,1
203,16,NA,NA,1,2
204,13,NA,NA,1,2
205,16,NA,NA,3,1
206,12,NA,NA,1,2
207,12,NA,12,1,1
208,12,NA,NA,1,1
209,16,NA,NA,1,1
210,12,NA,NA,3,2
211,14,NA,NA,1,1
212,14,NA,12,1,1
213,10,NA,NA,1,2
214,11,NA,NA,2,2
215,12,NA,NA,1,2
216,15,42,10,1,2
217,7,NA,NA,3,2
218,3,NA,5,1,1
219,12,NA,NA,3,2
220,12,NA,12,1,2
221,19,NA,12,1,2
222,16,NA,NA,1,2
223,12,NA,NA,1,1
224,14,NA,12,2,1
225,16,70,8,3,1
226,15,NA,9,1,2
227,11,NA,10,3,1
228,17,NA,12,1,2
229,12,NA,NA,1,2
230,12,NA,NA,1,2
231,15,NA,8,3,2
232,16,1,12,1,2
233,17,NA,NA,2,1
234,12,NA,NA,1,2
235,12,NA,12,1,1
236,17,14,12,1,2
237,10,NA,12,1,2
238,12,NA,NA,1,2
239,18,NA,12,1,1
240,13,NA,NA,1,2
241,14,NA,12,1,2
242,13,NA,12,1,1
243,13,NA,12,1,2
244,13,NA,12,1,2
245,14,NA,NA,1,2
246,12,NA,NA,3,2
247,12,NA,12,3,1
248,13,NA,NA,1,1
249,16,NA,NA,1,1
250,12,NA,NA,1,1
251,12,NA,NA,1,2
252,16,NA,NA,1,1
253,14,NA,6,1,2
254,12,NA,NA,2,2
255,10,NA,NA,2,1
256,1,NA,NA,3,2
257,12,NA,12,3,1
258,16,55,NA,1,2
259,16,18,NA,1,1
260,12,NA,12,3,1
261,16,12,NA,1,2
262,16,NA,9,1,1
263,16,17,12,1,1
264,16,NA,NA,1,2
265,16,55,12,1,2
266,13,NA,NA,1,1
267,16,NA,12,1,1
268,14,NA,12,1,2
269,16,NA,12,2,1
270,12,NA,12,1,2
271,12,NA,12,3,1
272,18,18,NA,1,1
273,14,NA,10,1,2
274,19,44,9,1,2
275,16,NA,12,1,2
276,16,NA,12,1,1
277,18,NA,NA,1,1
278,15,NA,9,1,2
279,12,NA,12,1,1
280,16,44,12,2,2
281,12,NA,12,1,2
282,13,NA,12,1,1
283,14,NA,12,1,1
284,12,NA,12,1,1
285,16,NA,NA,1,2
286,12,NA,NA,1,2
287,18,NA,12,1,2
288,15,NA,12,1,2
289,12,NA,NA,1,2
290,12,NA,NA,1,2
291,17,NA,12,1,1
292,19,NA,NA,1,2
293,12,NA,12,1,2
294,12,NA,12,1,1
295,11,NA,NA,1,2
296,16,9,12,1,2
297,11,NA,NA,1,2
298,20,14,NA,2,1
299,20,16,12,1,2
300,16,NA,12,2,2
301,16,51,12,2,2
302,13,NA,12,1,2
303,12,NA,12,1,1
304,20,NA,12,1,2
305,14,NA,4,1,1
306,12,NA,12,3,1
307,17,NA,NA,1,1
308,8,NA,NA,3,1
309,12,NA,11,1,2
310,16,NA,NA,1,1
311,14,NA,NA,1,1
312,16,18,12,3,1
313,18,NA,NA,1,1
314,20,NA,12,1,1
315,13,NA,12,1,1
316,16,NA,12,2,2
317,19,41,NA,1,1
318,12,NA,NA,2,2
319,20,16,12,1,2
320,12,NA,12,2,1
321,14,NA,NA,1,2
322,12,NA,8,2,1
323,11,NA,NA,2,1
324,7,NA,NA,2,2
325,12,NA,NA,2,1
326,10,NA,NA,1,2
327,12,NA,NA,2,1
328,14,NA,NA,3,2
329,17,16,NA,2,2
330,16,NA,4,2,2
331,14,NA,10,1,1
332,16,NA,12,1,2
333,19,5,NA,1,2
334,12,NA,12,1,2
335,18,38,12,1,1
336,12,NA,NA,1,1
337,16,NA,12,1,2
338,16,NA,NA,1,1
339,16,NA,12,1,2
340,16,NA,NA,1,2
341,20,NA,12,1,1
342,16,43,3,1,1
343,16,NA,12,2,2
344,18,NA,NA,1,1
345,14,36,12,2,2
346,13,NA,NA,1,2
347,12,NA,12,2,2
348,12,NA,NA,1,2
349,12,NA,NA,2,2
350,15,NA,1,2,2
351,14,80,NA,2,2
352,12,NA,9,2,2
353,20,NA,NA,1,2
354,16,14,12,3,1
355,20,42,12,1,1
356,12,NA,NA,3,2
357,9,NA,8,2,2
358,18,NA,12,2,1
359,14,9,12,1,1
360,12,NA,12,1,1
361,12,NA,NA,1,1
362,13,NA,NA,1,2
363,14,NA,NA,1,2
364,16,51,12,1,2
365,17,NA,12,1,1
366,6,NA,NA,2,2
367,16,25,12,1,2
368,16,NA,12,1,2
369,18,36,12,1,2
370,16,NA,NA,1,1
371,16,25,NA,1,1
372,16,NA,12,1,1
373,16,42,12,1,2
374,15,34,NA,1,2
375,16,49,12,1,1
376,14,NA,12,1,2
377,14,NA,5,1,2
378,14,NA,NA,1,2
379,16,21,NA,1,2
380,16,16,NA,1,2
381,12,NA,1,1,1
382,12,NA,NA,1,2
383,19,25,NA,1,2
384,15,NA,12,3,1
385,16,29,12,1,2
386,16,25,12,1,2
387,16,NA,12,1,2
388,20,18,12,1,2
389,14,NA,NA,2,1
390,14,NA,NA,2,2
391,13,NA,NA,3,2
392,18,NA,NA,1,1
393,9,NA,NA,2,2
394,17,NA,NA,3,2
395,0,NA,12,1,1
396,16,NA,NA,1,2
397,12,NA,NA,1,1
398,19,50,12,1,1
399,12,NA,12,1,1
400,16,25,NA,1,2
401,16,20,12,1,1
402,12,NA,NA,3,2
403,12,NA,2,1,2
404,3,NA,NA,1,2
405,12,NA,NA,1,2
406,15,NA,NA,1,1
407,11,NA,NA,1,2
408,14,NA,NA,3,2
409,13,NA,NA,1,2
410,13,NA,12,1,1
411,15,NA,NA,1,2
412,10,NA,NA,1,2
413,14,NA,NA,1,1
414,15,36,12,1,2
415,8,NA,NA,1,2
416,16,32,NA,1,1
417,13,NA,12,1,1
418,12,NA,12,1,1
419,14,NA,12,3,2
420,16,61,12,1,2
421,13,1,NA,1,1
422,14,NA,12,1,2
423,12,NA,12,1,1
424,13,NA,NA,3,2
425,12,NA,11,1,2
426,20,NA,6,1,2
427,18,20,3,1,2
428,20,38,NA,3,1
429,16,NA,12,1,2
430,12,NA,12,3,2
431,16,NA,12,1,2
432,16,NA,NA,1,1
433,18,NA,NA,1,2
434,16,NA,10,3,2
435,5,NA,NA,1,1
436,16,73,NA,3,2
437,12,NA,NA,1,2
438,16,NA,8,1,2
439,18,9,NA,1,2
440,14,NA,12,2,2
441,18,NA,11,3,1
442,16,NA,12,1,2
443,17,NA,NA,3,2
444,12,NA,NA,3,2
445,12,NA,NA,2,2
446,12,NA,12,3,1
447,16,NA,12,3,2
448,16,36,12,2,2
449,12,NA,NA,1,2
450,0,NA,NA,2,2
451,12,NA,12,2,1
452,17,NA,12,1,2
453,12,NA,NA,3,2
454,16,NA,12,1,2
455,18,72,12,2,2
456,13,NA,NA,3,1
457,19,NA,NA,2,1
458,16,NA,NA,3,2
459,12,NA,NA,1,2
460,14,NA,NA,1,2
461,16,NA,12,1,1
462,17,NA,8,3,2
463,15,NA,12,1,1
464,16,44,12,1,1
465,16,33,NA,1,2
466,14,NA,7,1,2
467,14,NA,12,3,2
468,15,NA,NA,1,1
469,16,20,12,1,2
470,14,NA,12,1,2
471,18,6,NA,1,2
472,19,NA,12,3,2
473,16,7,NA,1,2
474,18,NA,12,1,1
475,9,NA,NA,3,2
476,15,NA,NA,1,1
477,18,NA,12,1,2
478,20,34,3,3,1
479,12,NA,NA,1,2
480,13,NA,11,1,1
481,18,NA,12,3,2
482,15,NA,10,2,2
483,12,NA,NA,1,2
484,12,NA,10,1,1
485,16,18,NA,1,1
486,11,NA,NA,2,2
487,16,55,12,2,2
488,12,NA,NA,1,2
489,12,NA,12,1,1
490,14,NA,NA,1,2
491,16,NA,12,1,2
492,16,NA,NA,1,1
493,20,NA,12,1,2
494,20,NA,NA,1,1
495,17,NA,12,1,2
496,11,NA,NA,2,2
497,13,NA,NA,2,2
498,6,NA,NA,1,2
499,10,NA,12,1,1
500,16,46,NA,2,2
501,12,NA,12,1,1
502,16,9,NA,2,1
503,16,NA,NA,1,2
504,11,NA,NA,1,1
505,16,NA,12,3,1
506,14,NA,NA,1,1
507,17,NA,12,1,1
508,16,1,12,3,2
509,17,NA,12,1,1
510,16,9,12,2,2
511,18,NA,12,3,2
512,16,16,NA,1,2
513,16,21,NA,1,1
514,17,80,12,1,1
515,16,9,NA,1,1
516,14,NA,NA,1,2
517,16,NA,NA,1,1
518,18,40,NA,1,2
519,16,NA,12,1,2
520,12,NA,12,1,1
521,18,NA,NA,1,1
522,12,NA,10,1,2
523,12,NA,12,1,1
524,14,NA,9,1,1
525,13,NA,NA,1,2
526,12,NA,1,1,2
527,12,NA,NA,1,2
528,13,NA,1,1,2
529,12,NA,NA,1,2
530,12,NA,12,1,2
531,12,NA,2,2,2
532,13,NA,NA,2,1
533,12,NA,12,2,1
534,18,NA,12,1,1
535,14,NA,NA,1,2
536,14,NA,8,1,2
537,2,NA,NA,3,2
538,18,9,12,1,1
539,13,NA,12,1,2
540,12,NA,12,1,2
541,17,NA,12,1,2
542,16,NA,NA,1,1
543,16,68,12,2,1
544,13,NA,12,3,1
545,17,36,12,1,2
546,12,NA,NA,1,2
547,12,NA,NA,1,2
548,11,NA,NA,2,1
549,12,NA,NA,2,2
550,20,16,NA,1,2
551,16,19,11,1,1
552,13,NA,NA,1,1
553,16,9,12,1,2
554,12,NA,6,3,2
555,17,36,NA,1,2
556,14,32,9,1,2
557,16,NA,NA,1,1
558,16,NA,NA,1,1
559,17,NA,12,1,1
560,16,NA,12,1,1
561,17,16,NA,1,2
562,12,NA,3,1,1
563,16,72,12,3,2
564,16,14,12,3,1
565,16,NA,11,1,1
566,16,NA,NA,1,2
567,16,42,12,1,2
568,20,43,NA,1,1
569,16,NA,12,1,1
570,16,9,NA,3,2
571,20,11,NA,1,2
572,16,NA,12,1,2
573,20,NA,12,1,1
574,12,NA,12,2,1
575,14,NA,2,2,2
576,12,NA,3,2,2
577,16,NA,NA,1,2
578,14,NA,10,2,1
579,15,NA,12,2,2
580,12,NA,NA,1,1
581,20,NA,12,1,2
582,12,NA,NA,1,1
583,12,NA,12,3,2
584,12,NA,11,1,1
585,12,NA,7,1,2
586,7,NA,9,3,2
587,17,NA,12,3,1
588,15,16,12,2,2
589,18,16,12,2,2
590,14,NA,12,2,2
591,11,NA,NA,3,2
592,16,NA,11,2,1
593,13,NA,12,2,2
594,12,NA,4,2,2
595,16,16,NA,2,1
596,14,NA,NA,1,1
597,12,NA,12,3,1
598,16,NA,12,1,2
599,19,29,12,2,2
600,12,NA,5,3,1
601,11,NA,NA,1,2
602,14,9,NA,1,1
603,13,NA,12,1,1
604,12,NA,1,1,1
605,16,42,NA,1,2
606,12,NA,3,3,1
607,9,NA,NA,3,2
608,14,NA,10,1,2
609,9,NA,NA,1,2
610,11,NA,4,3,1
611,5,NA,NA,3,1
612,9,NA,NA,3,2
613,10,NA,12,3,1
614,15,NA,NA,1,2
615,9,NA,NA,1,2
616,7,NA,NA,3,2
617,14,NA,NA,3,2
618,12,NA,NA,3,2
619,16,NA,NA,3,2
620,12,NA,NA,1,2
621,16,63,NA,1,2
622,12,NA,10,2,2
623,20,NA,12,1,2
624,14,NA,12,3,1
625,19,82,NA,1,2
626,15,NA,12,1,2
627,19,47,NA,3,2
628,20,NA,12,2,2
629,16,8,NA,1,1
630,17,9,NA,1,2
631,16,NA,NA,2,2
632,12,NA,10,2,2
633,15,NA,12,2,2
634,15,NA,12,2,2
635,18,9,12,2,1
636,12,NA,9,2,2
637,12,NA,12,3,2
638,12,NA,9,2,1
639,13,NA,12,2,2
640,12,NA,3,1,2
641,16,17,12,1,1
642,14,NA,12,2,1
643,15,NA,12,1,1
644,11,NA,8,1,1
645,14,NA,NA,1,2
646,18,36,12,1,2
647,14,NA,NA,1,2
648,11,NA,NA,1,1
649,6,NA,9,3,2
650,3,NA,11,3,1
651,9,NA,NA,2,2
652,12,NA,4,3,2
653,19,55,12,2,2
654,16,NA,12,2,1
655,12,NA,9,2,2
656,16,NA,12,1,2
657,12,NA,12,2,1
658,14,NA,12,1,1
659,13,NA,12,2,2
660,14,NA,12,2,1
661,13,NA,NA,1,1
662,13,NA,NA,2,1
663,12,NA,12,2,2
664,15,NA,11,3,2
665,16,47,12,2,1
666,16,NA,NA,2,2
667,14,NA,12,1,1
668,17,NA,7,2,2
669,13,NA,NA,1,2
670,12,NA,NA,1,2
671,16,NA,9,2,1
672,12,NA,NA,1,1
673,12,NA,NA,1,1
674,15,NA,4,1,2
675,14,9,9,1,2
676,14,NA,11,1,1
677,14,NA,12,2,1
678,13,NA,NA,2,1
679,12,NA,11,3,2
680,15,18,NA,2,2
681,15,NA,12,2,1
682,15,16,12,2,2
683,16,44,12,2,2
684,3,NA,NA,1,2
685,12,NA,12,1,1
686,12,NA,10,1,2
687,12,NA,NA,1,2
688,11,NA,9,3,2
689,12,NA,NA,2,1
690,12,NA,NA,2,1
691,12,NA,12,2,1
692,14,NA,10,2,2
693,15,61,12,2,2
694,12,NA,NA,2,2
695,12,NA,12,1,1
696,12,NA,12,3,1
697,4,NA,NA,3,2
698,12,NA,NA,1,2
699,16,NA,NA,1,2
700,4,NA,NA,2,2
701,13,NA,12,3,1
702,13,NA,NA,2,2
703,12,NA,NA,2,1
704,9,NA,9,1,2
705,14,NA,NA,1,2
706,12,NA,12,1,2
707,12,NA,12,1,1
708,12,NA,12,1,1
709,15,NA,NA,1,2
710,12,NA,NA,1,2
711,9,NA,NA,1,1
712,16,NA,4,2,1
713,18,34,12,1,2
714,12,NA,NA,1,1
715,11,NA,11,2,2
716,18,NA,12,1,1
717,13,NA,NA,3,1
718,18,NA,12,1,1
719,18,21,12,1,2
720,18,16,12,1,1
721,11,NA,2,1,2
722,16,NA,12,2,2
723,15,NA,NA,1,2
724,16,NA,NA,2,1
725,12,NA,NA,2,2
726,15,9,11,2,1
727,13,NA,12,2,1
728,14,NA,5,2,1
729,12,NA,12,2,1
730,12,NA,NA,2,1
731,14,51,12,2,2
732,13,NA,9,2,2
733,18,36,NA,1,2
734,10,NA,12,1,1
735,16,NA,7,1,2
736,14,NA,12,1,1
737,16,NA,NA,1,2
738,12,NA,2,1,1
739,14,NA,NA,2,2
740,17,35,11,1,2
741,12,NA,12,1,2
742,16,NA,12,2,1
743,10,NA,11,1,1
744,12,NA,12,1,2
745,12,NA,NA,1,1
746,14,NA,12,2,2
747,16,NA,5,1,2
748,12,NA,10,2,2
749,12,NA,12,2,1
750,13,NA,NA,2,2
751,12,NA,NA,1,2
752,15,NA,12,1,1
753,10,NA,NA,1,1
754,12,NA,11,3,1
755,18,NA,12,1,1
756,11,NA,NA,1,1
757,20,43,12,1,1
758,16,NA,5,1,2
759,18,16,NA,1,2
760,14,NA,12,3,1
761,16,NA,NA,1,1
762,16,9,12,1,2
763,16,40,12,1,2
764,16,NA,3,3,2
765,15,NA,NA,1,1
766,18,NA,12,1,1
767,17,16,NA,1,2
768,9,NA,NA,1,1
769,12,NA,12,1,1
770,16,NA,9,1,1
771,19,16,12,1,1
772,16,9,NA,1,2
773,12,NA,NA,1,1
774,14,NA,NA,1,2
775,14,NA,12,1,2
776,14,NA,10,1,2
777,14,NA,NA,1,1
778,8,NA,12,1,1
779,16,NA,12,1,1
780,12,NA,NA,1,2
781,16,NA,12,1,2
782,14,NA,NA,1,1
783,13,NA,NA,1,2
784,17,49,10,1,2
785,12,NA,12,1,1
786,15,NA,12,1,2
787,12,NA,9,1,2
788,8,NA,9,3,2
789,12,NA,12,1,1
790,14,NA,12,1,1
791,12,NA,NA,1,2
792,16,NA,NA,1,2
793,12,NA,12,1,2
794,NA,NA,11,2,2
795,20,NA,NA,2,1
796,15,NA,NA,2,2
797,12,NA,11,3,2
798,15,NA,9,2,2
799,14,NA,12,1,2
800,15,8,NA,1,1
801,3,NA,11,3,1
802,12,NA,11,1,2
803,12,NA,5,3,2
804,16,NA,9,1,1
805,7,NA,11,3,1
806,12,NA,NA,2,1
807,16,50,12,1,2
808,12,NA,12,3,1
809,16,NA,12,3,2
810,13,NA,NA,1,1
811,16,NA,12,1,1
812,18,NA,12,1,1
813,16,9,NA,2,2
814,15,NA,10,3,2
815,12,NA,7,2,2
816,12,NA,11,1,2
817,12,NA,NA,1,1
818,12,NA,NA,2,1
819,12,NA,NA,3,1
820,12,NA,6,2,1
821,18,NA,9,1,2
822,16,NA,NA,2,1
823,15,NA,7,1,1
824,12,NA,NA,1,1
825,14,NA,NA,1,2
826,16,16,12,2,2
827,12,NA,NA,1,1
828,16,17,12,1,1
829,16,NA,12,1,2
830,12,NA,NA,1,2
831,16,NA,12,1,1
832,13,NA,NA,1,1
833,12,NA,3,1,1
834,12,NA,NA,1,1
835,19,NA,12,1,2
836,16,NA,NA,1,1
837,12,NA,NA,1,2
838,12,NA,NA,3,1
839,14,62,12,3,1
840,10,NA,12,1,1
841,9,NA,5,3,2
842,14,NA,9,1,2
843,12,NA,11,1,2
844,15,57,NA,1,2
845,14,NA,12,1,1
846,12,NA,NA,1,2
847,12,NA,12,3,1
848,14,56,12,1,2
849,14,NA,9,1,1
850,14,NA,12,1,2
851,16,NA,NA,3,2
852,12,NA,12,3,1
853,6,NA,NA,1,2
854,17,49,12,3,2
855,14,NA,12,1,1
856,14,NA,12,1,2
857,16,NA,NA,1,1
858,16,NA,NA,1,2
859,17,NA,12,2,2
860,12,NA,NA,2,1
861,16,NA,12,2,1
862,16,8,1,1,2
863,13,NA,NA,1,1
864,16,NA,10,1,2
865,12,NA,12,2,1
866,12,NA,2,1,2
867,15,NA,2,1,1
868,13,NA,NA,1,2
869,20,NA,12,1,2
870,15,NA,9,1,2
871,8,NA,NA,2,2
872,12,NA,NA,1,2
873,16,9,9,1,2
874,16,9,NA,1,1
875,12,NA,10,1,1
876,16,34,12,1,2
877,16,9,12,1,1
878,16,57,NA,1,2
879,12,NA,NA,1,2
880,17,52,12,1,2
881,17,NA,12,1,2
882,16,55,11,1,2
883,14,NA,NA,1,2
884,16,47,12,1,1
885,16,50,12,1,2
886,12,NA,11,1,2
887,18,NA,12,1,1
888,12,NA,NA,1,2
889,14,NA,NA,1,2
890,16,NA,11,1,2
891,12,NA,NA,1,1
892,16,4,12,1,2
893,12,NA,NA,1,2
894,15,NA,NA,2,1
895,12,NA,10,2,1
896,13,NA,12,2,1
897,16,NA,12,2,1
898,12,NA,NA,1,2
899,12,NA,NA,1,1
900,12,NA,12,1,1
901,11,NA,NA,1,2
902,12,NA,12,1,1
903,12,NA,12,1,1
904,12,NA,12,2,1
905,13,NA,3,2,2
906,13,NA,NA,2,1
907,12,NA,2,2,2
908,12,NA,NA,2,2
909,14,9,NA,2,1
910,20,NA,NA,3,2
911,12,NA,1,2,2
912,14,NA,11,2,1
913,15,NA,12,1,2
914,14,NA,12,1,1
915,10,NA,12,1,1
916,14,NA,12,1,2
917,11,NA,NA,1,2
918,14,NA,12,1,1
919,14,NA,NA,1,1
920,12,NA,NA,1,2
921,20,NA,NA,1,2
922,12,NA,12,1,1
923,12,NA,12,1,2
924,16,9,NA,1,2
925,16,9,12,1,1
926,12,NA,NA,1,1
927,17,12,NA,1,2
928,12,NA,12,1,1
929,20,NA,12,1,2
930,14,7,NA,1,1
931,18,NA,NA,1,1
932,18,NA,NA,1,1
933,19,9,NA,1,1
934,16,NA,12,1,2
935,14,42,12,1,2
936,16,NA,NA,1,1
937,17,17,12,1,1
938,18,NA,12,1,2
939,13,NA,2,1,2
940,12,NA,NA,1,1
941,14,NA,12,2,2
942,11,NA,NA,1,1
943,15,NA,NA,1,2
944,11,NA,NA,1,2
945,12,NA,12,2,1
946,17,NA,NA,3,2
947,18,82,NA,1,2
948,15,NA,11,3,1
949,12,NA,NA,2,1
950,14,67,NA,1,2
951,9,NA,NA,1,2
952,17,9,NA,1,2
953,14,NA,12,1,1
954,9,NA,NA,1,2
955,12,NA,NA,1,2
956,18,NA,NA,1,1
957,6,NA,NA,1,2
958,9,NA,NA,1,1
959,12,NA,1,1,1
960,6,NA,12,3,1
961,14,16,12,1,1
962,16,NA,12,1,2
963,16,NA,12,2,1
964,16,NA,NA,1,2
965,13,NA,12,1,1
966,14,NA,NA,1,1
967,14,NA,7,3,2
968,14,NA,12,2,1
969,12,NA,12,2,2
970,11,NA,12,3,2
971,16,NA,12,1,1
972,13,NA,12,1,2
973,12,NA,12,1,1
974,14,NA,11,2,2
975,12,NA,12,1,1
976,16,NA,NA,1,2
977,16,NA,12,1,1
978,13,NA,NA,1,2
979,18,NA,NA,1,1
980,18,NA,12,1,1
981,17,NA,12,1,1
982,16,12,12,1,2
983,18,NA,NA,1,1
984,13,NA,NA,3,1
985,16,17,12,1,1
986,20,55,12,1,2
987,17,9,5,1,1
988,16,14,12,1,2
989,13,NA,1,1,2
990,13,NA,9,1,1
991,12,NA,NA,3,2
992,14,NA,9,1,1
993,16,19,7,1,1
994,13,NA,NA,1,1
995,12,NA,12,1,2
996,15,NA,10,1,2
997,14,NA,NA,1,2
998,15,NA,NA,1,2
999,13,NA,9,1,2
1000,12,NA,12,1,2
1001,16,7,NA,1,2
1002,15,NA,NA,1,2
1003,16,NA,NA,1,1
1004,16,NA,9,1,2
1005,20,34,NA,3,1
1006,20,34,12,3,1
1007,16,NA,12,2,1
1008,16,NA,12,1,2
1009,16,NA,12,1,1
1010,18,34,NA,3,1
1011,14,NA,10,1,2
1012,13,NA,12,2,2
1013,16,1,12,1,2
1014,16,12,12,1,2
1015,16,9,12,1,2
1016,14,NA,12,1,1
1017,13,NA,3,1,2
1018,14,NA,12,2,2
1019,13,NA,12,3,1
1020,18,NA,NA,1,2
1021,13,NA,12,2,2
1022,12,NA,11,1,2
1023,12,NA,NA,2,2
1024,10,NA,NA,1,2
1025,16,20,NA,1,1
1026,14,NA,12,1,1
1027,12,NA,12,1,1
1028,16,NA,NA,1,1
1029,12,NA,12,1,1
1030,16,29,12,1,2
1031,12,NA,12,1,1
1032,14,NA,NA,1,2
1033,15,NA,12,1,1
1034,16,NA,12,1,2
1035,15,62,2,1,1
1036,10,NA,12,1,1
1037,12,NA,NA,1,2
1038,16,NA,12,1,1
1039,12,NA,NA,2,1
1040,18,55,12,1,2
1041,16,NA,NA,1,1
1042,14,NA,NA,2,2
1043,20,20,12,3,1
1044,14,NA,11,1,1
1045,17,59,12,3,2
1046,14,9,NA,1,2
1047,12,NA,NA,1,2
1048,18,NA,1,1,2
1049,11,NA,NA,2,1
1050,6,NA,NA,2,2
1051,10,NA,NA,2,1
1052,12,NA,12,1,2
