"","Degree","Happy_level","Year","Happy"
"1","Bachelor's",3,1972,"Not too happy"
"2","Less than high school",3,1972,"Not too happy"
"3","High school",2,1972,"Pretty happy"
"4","Bachelor's",3,1972,"Not too happy"
"5","High school",2,1972,"Pretty happy"
"6","High school",2,1972,"Pretty happy"
"7","High school",3,1972,"Not too happy"
"8","Bachelor's",3,1972,"Not too happy"
"9","High school",2,1972,"Pretty happy"
"10","High school",2,1972,"Pretty happy"
"11","High school",2,1972,"Pretty happy"
"12","Less than high school",2,1972,"Pretty happy"
"13","Less than high school",2,1972,"Pretty happy"
"14","Less than high school",3,1972,"Not too happy"
"15","Less than high school",1,1972,"Very happy"
"16","High school",3,1972,"Not too happy"
"17","High school",1,1972,"Very happy"
"18","Less than high school",1,1972,"Very happy"
"19","Bachelor's",1,1972,"Very happy"
"20","High school",1,1972,"Very happy"
"21","High school",1,1972,"Very happy"
"22","High school",1,1972,"Very happy"
"23","High school",1,1972,"Very happy"
"24","Bachelor's",2,1972,"Pretty happy"
"25","High school",1,1972,"Very happy"
"26","High school",2,1972,"Pretty happy"
"27","High school",2,1972,"Pretty happy"
"28","High school",2,1972,"Pretty happy"
"29","Less than high school",2,1972,"Pretty happy"
"30","Less than high school",2,1972,"Pretty happy"
"31","High school",1,1972,"Very happy"
"32","Bachelor's",2,1972,"Pretty happy"
"33","Less than high school",1,1972,"Very happy"
"34","High school",1,1972,"Very happy"
"35","High school",3,1972,"Not too happy"
"36","High school",1,1972,"Very happy"
"37","Less than high school",3,1972,"Not too happy"
"38","High school",2,1972,"Pretty happy"
"39","High school",3,1972,"Not too happy"
"40","Less than high school",2,1972,"Pretty happy"
"41","Less than high school",1,1972,"Very happy"
"42","Less than high school",2,1972,"Pretty happy"
"43","High school",1,1972,"Very happy"
"44","High school",2,1972,"Pretty happy"
"45","High school",2,1972,"Pretty happy"
"46","Less than high school",1,1972,"Very happy"
"47","Less than high school",2,1972,"Pretty happy"
"48","Less than high school",2,1972,"Pretty happy"
"49","High school",1,1972,"Very happy"
"50","Less than high school",1,1972,"Very happy"
"51","High school",1,1972,"Very happy"
"52","Less than high school",1,1972,"Very happy"
"53","High school",2,1972,"Pretty happy"
"54","High school",2,1972,"Pretty happy"
"55","High school",2,1972,"Pretty happy"
"56","High school",1,1972,"Very happy"
"57","Less than high school",1,1972,"Very happy"
"58","High school",1,1972,"Very happy"
"59","Less than high school",2,1972,"Pretty happy"
"60","High school",2,1972,"Pretty happy"
"61","Less than high school",2,1972,"Pretty happy"
"62","High school",1,1972,"Very happy"
"63","Less than high school",2,1972,"Pretty happy"
"64","High school",2,1972,"Pretty happy"
"65","High school",1,1972,"Very happy"
"66","High school",2,1972,"Pretty happy"
"67","Bachelor's",2,1972,"Pretty happy"
"68","Less than high school",2,1972,"Pretty happy"
"69","High school",2,1972,"Pretty happy"
"70","Less than high school",2,1972,"Pretty happy"
"71","Less than high school",3,1972,"Not too happy"
"72","High school",2,1972,"Pretty happy"
"73","Bachelor's",2,1972,"Pretty happy"
"74","Less than high school",3,1972,"Not too happy"
"75","High school",1,1972,"Very happy"
"76","High school",2,1972,"Pretty happy"
"77","Less than high school",2,1972,"Pretty happy"
"78","High school",2,1972,"Pretty happy"
"79","High school",1,1972,"Very happy"
"80","High school",1,1972,"Very happy"
"81","Bachelor's",1,1972,"Very happy"
"82","Graduate",2,1972,"Pretty happy"
"83","Graduate",2,1972,"Pretty happy"
"84","Bachelor's",1,1972,"Very happy"
"85","High school",2,1972,"Pretty happy"
"86","Bachelor's",1,1972,"Very happy"
"87","High school",2,1972,"Pretty happy"
"88","High school",2,1972,"Pretty happy"
"89","High school",1,1972,"Very happy"
"90","Bachelor's",1,1972,"Very happy"
"91","High school",1,1972,"Very happy"
"92","High school",1,1972,"Very happy"
"93","High school",1,1972,"Very happy"
"94","Less than high school",1,1972,"Very happy"
"95","High school",2,1972,"Pretty happy"
"96","High school",1,1972,"Very happy"
"97","High school",1,1972,"Very happy"
"98","High school",2,1972,"Pretty happy"
"99","High school",2,1972,"Pretty happy"
"100","High school",2,1972,"Pretty happy"
"101","Bachelor's",1,1972,"Very happy"
"102","High school",3,1972,"Not too happy"
"103","Less than high school",3,1972,"Not too happy"
"104","High school",2,1972,"Pretty happy"
"105","Less than high school",2,1972,"Pretty happy"
"106","High school",2,1972,"Pretty happy"
"107","High school",2,1972,"Pretty happy"
"108","Less than high school",2,1972,"Pretty happy"
"109","Less than high school",3,1972,"Not too happy"
"110","Less than high school",1,1972,"Very happy"
"111","Less than high school",3,1972,"Not too happy"
"112","Less than high school",1,1972,"Very happy"
"113","Less than high school",1,1972,"Very happy"
"114","Less than high school",2,1972,"Pretty happy"
"115","Bachelor's",2,1972,"Pretty happy"
"116","Less than high school",2,1972,"Pretty happy"
"117","High school",3,1972,"Not too happy"
"118","Less than high school",3,1972,"Not too happy"
"119","High school",2,1972,"Pretty happy"
"120","High school",2,1972,"Pretty happy"
"121","Less than high school",2,1972,"Pretty happy"
"122","Less than high school",2,1972,"Pretty happy"
"123","High school",2,1972,"Pretty happy"
"124","Less than high school",1,1972,"Very happy"
"125","Less than high school",2,1972,"Pretty happy"
"126","High school",2,1972,"Pretty happy"
"127","High school",2,1972,"Pretty happy"
"128","High school",2,1972,"Pretty happy"
"129","High school",3,1972,"Not too happy"
"130","Less than high school",2,1972,"Pretty happy"
"131","Bachelor's",2,1972,"Pretty happy"
"132","High school",2,1972,"Pretty happy"
"133","Less than high school",2,1972,"Pretty happy"
"134","Less than high school",2,1972,"Pretty happy"
"135","High school",1,1972,"Very happy"
"136","High school",1,1972,"Very happy"
"137","High school",2,1972,"Pretty happy"
"138","Less than high school",1,1972,"Very happy"
"139","Less than high school",2,1972,"Pretty happy"
"140","High school",2,1972,"Pretty happy"
"141","High school",2,1972,"Pretty happy"
"142","Less than high school",2,1972,"Pretty happy"
"143","High school",1,1972,"Very happy"
"144","High school",2,1972,"Pretty happy"
"145","Less than high school",2,1972,"Pretty happy"
"146","High school",2,1972,"Pretty happy"
"147","Less than high school",2,1972,"Pretty happy"
"148","Less than high school",2,1972,"Pretty happy"
"149","Less than high school",1,1972,"Very happy"
"150","Graduate",2,1972,"Pretty happy"
"151","Bachelor's",1,1972,"Very happy"
"152","Bachelor's",2,1972,"Pretty happy"
"153","High school",1,1972,"Very happy"
"154","High school",1,1972,"Very happy"
"155","High school",1,1972,"Very happy"
"156","Less than high school",1,1972,"Very happy"
"157","High school",2,1972,"Pretty happy"
"158","Less than high school",1,1972,"Very happy"
"159","Less than high school",2,1972,"Pretty happy"
"160","Graduate",2,1972,"Pretty happy"
"161","Bachelor's",2,1972,"Pretty happy"
"162","High school",2,1972,"Pretty happy"
"163","Less than high school",3,1972,"Not too happy"
"164","Bachelor's",1,1972,"Very happy"
"165","High school",2,1972,"Pretty happy"
"166","Less than high school",1,1972,"Very happy"
"167","High school",2,1972,"Pretty happy"
"168","Less than high school",1,1972,"Very happy"
"169","Less than high school",2,1972,"Pretty happy"
"170","Less than high school",2,1972,"Pretty happy"
"171","Less than high school",2,1972,"Pretty happy"
"172","Less than high school",3,1972,"Not too happy"
"173","High school",2,1972,"Pretty happy"
"174","Bachelor's",1,1972,"Very happy"
"175","Graduate",2,1972,"Pretty happy"
"176","High school",3,1972,"Not too happy"
"177","Graduate",1,1972,"Very happy"
"178","Bachelor's",1,1972,"Very happy"
"179","High school",1,1972,"Very happy"
"180","High school",2,1972,"Pretty happy"
"181","Less than high school",1,1972,"Very happy"
"182","High school",1,1972,"Very happy"
"183","High school",2,1972,"Pretty happy"
"184","High school",2,1972,"Pretty happy"
"185","High school",2,1972,"Pretty happy"
"186","Associate/junior college",1,1972,"Very happy"
"187","High school",2,1972,"Pretty happy"
"188","Less than high school",1,1972,"Very happy"
"189","Less than high school",2,1972,"Pretty happy"
"190","Less than high school",1,1972,"Very happy"
"191","Less than high school",2,1972,"Pretty happy"
"192","High school",1,1972,"Very happy"
"193","Less than high school",1,1972,"Very happy"
"194","High school",2,1972,"Pretty happy"
"195","Less than high school",3,1972,"Not too happy"
"196","Less than high school",1,1972,"Very happy"
"197","Less than high school",2,1972,"Pretty happy"
"198","Less than high school",3,1972,"Not too happy"
"199","High school",2,1972,"Pretty happy"
"200","Less than high school",2,1972,"Pretty happy"
"201","Less than high school",2,1972,"Pretty happy"
"202","Less than high school",2,1972,"Pretty happy"
"203","Less than high school",1,1972,"Very happy"
"204","High school",1,1972,"Very happy"
"205","Graduate",2,1972,"Pretty happy"
"206","High school",2,1972,"Pretty happy"
"207","High school",2,1972,"Pretty happy"
"208","High school",2,1972,"Pretty happy"
"209","High school",1,1972,"Very happy"
"210","Less than high school",2,1972,"Pretty happy"
"211","High school",2,1972,"Pretty happy"
"212","Less than high school",2,1972,"Pretty happy"
"213","Bachelor's",2,1972,"Pretty happy"
"214","High school",1,1972,"Very happy"
"215","High school",2,1972,"Pretty happy"
"216","High school",1,1972,"Very happy"
"217","High school",3,1972,"Not too happy"
"218","High school",1,1972,"Very happy"
"219","Less than high school",1,1972,"Very happy"
"220","High school",1,1972,"Very happy"
"221","Less than high school",1,1972,"Very happy"
"222","Less than high school",2,1972,"Pretty happy"
"223","Less than high school",2,1972,"Pretty happy"
"224","Less than high school",2,1972,"Pretty happy"
"225","Less than high school",2,1972,"Pretty happy"
"226","Graduate",2,1972,"Pretty happy"
"227","Less than high school",3,1972,"Not too happy"
"228","Less than high school",1,1972,"Very happy"
"229","High school",1,1972,"Very happy"
"230","High school",1,1972,"Very happy"
"231","High school",1,1972,"Very happy"
"232","High school",2,1972,"Pretty happy"
"233","Less than high school",1,1972,"Very happy"
"234","High school",1,1972,"Very happy"
"235","High school",3,1972,"Not too happy"
"236","Less than high school",1,1972,"Very happy"
"237","High school",3,1972,"Not too happy"
"238","High school",2,1972,"Pretty happy"
"239","Bachelor's",2,1972,"Pretty happy"
"240","High school",2,1972,"Pretty happy"
"241","High school",1,1972,"Very happy"
"242","Less than high school",3,1972,"Not too happy"
"243","High school",3,1972,"Not too happy"
"244","High school",1,1972,"Very happy"
"245","High school",1,1972,"Very happy"
"246","High school",1,1972,"Very happy"
"247","Less than high school",2,1972,"Pretty happy"
"248","Less than high school",2,1972,"Pretty happy"
"249","Less than high school",2,1972,"Pretty happy"
"250","High school",2,1972,"Pretty happy"
"251","High school",2,1972,"Pretty happy"
"252","Bachelor's",1,1972,"Very happy"
"253","High school",1,1972,"Very happy"
"254","High school",2,1972,"Pretty happy"
"255","High school",2,1972,"Pretty happy"
"256","Less than high school",3,1972,"Not too happy"
"257","Less than high school",3,1972,"Not too happy"
"258","Less than high school",3,1972,"Not too happy"
"259","High school",2,1972,"Pretty happy"
"260","High school",2,1972,"Pretty happy"
"261","High school",1,1972,"Very happy"
"262","Less than high school",2,1972,"Pretty happy"
"263","Less than high school",3,1972,"Not too happy"
"264","High school",2,1972,"Pretty happy"
"265","Less than high school",2,1972,"Pretty happy"
"266","Graduate",1,1972,"Very happy"
"267","Less than high school",2,1972,"Pretty happy"
"268","High school",1,1972,"Very happy"
"269","Less than high school",1,1972,"Very happy"
"270","High school",1,1972,"Very happy"
"271","High school",1,1972,"Very happy"
"272","High school",1,1972,"Very happy"
"273","Less than high school",1,1972,"Very happy"
"274","Less than high school",2,1972,"Pretty happy"
"275","Less than high school",1,1972,"Very happy"
"276","High school",2,1972,"Pretty happy"
"277","High school",2,1972,"Pretty happy"
"278","Less than high school",1,1972,"Very happy"
"279","High school",1,1972,"Very happy"
"280","High school",2,1972,"Pretty happy"
"281","Less than high school",2,1972,"Pretty happy"
"282","High school",1,1972,"Very happy"
"283","High school",1,1972,"Very happy"
"284","High school",3,1972,"Not too happy"
"285","Less than high school",3,1972,"Not too happy"
"286","Less than high school",1,1972,"Very happy"
"287","Less than high school",2,1972,"Pretty happy"
"288","Less than high school",3,1972,"Not too happy"
"289","Bachelor's",2,1972,"Pretty happy"
"290","Less than high school",3,1972,"Not too happy"
"291","High school",2,1972,"Pretty happy"
"292","Less than high school",3,1972,"Not too happy"
"293","Graduate",2,1972,"Pretty happy"
"294","High school",1,1972,"Very happy"
"295","High school",2,1972,"Pretty happy"
"296","High school",2,1972,"Pretty happy"
"297","Graduate",1,1972,"Very happy"
"298","Bachelor's",2,1972,"Pretty happy"
"299","High school",1,1972,"Very happy"
"300","High school",2,1972,"Pretty happy"
"301","High school",2,1972,"Pretty happy"
"302","Less than high school",1,1972,"Very happy"
"303","Bachelor's",2,1972,"Pretty happy"
"304","Bachelor's",2,1972,"Pretty happy"
"305","Less than high school",1,1972,"Very happy"
"306","Less than high school",3,1972,"Not too happy"
"307","Less than high school",1,1972,"Very happy"
"308","Less than high school",2,1972,"Pretty happy"
"309","Less than high school",2,1972,"Pretty happy"
"310","Less than high school",3,1972,"Not too happy"
"311","Less than high school",2,1972,"Pretty happy"
"312","Less than high school",2,1972,"Pretty happy"
"313","Less than high school",1,1972,"Very happy"
"314","Less than high school",1,1972,"Very happy"
"315","Less than high school",2,1972,"Pretty happy"
"316","Less than high school",2,1972,"Pretty happy"
"317","High school",2,1972,"Pretty happy"
"318","Bachelor's",2,1972,"Pretty happy"
"319","High school",3,1972,"Not too happy"
"320","High school",2,1972,"Pretty happy"
"321","High school",2,1972,"Pretty happy"
"322","Less than high school",2,1972,"Pretty happy"
"323","Less than high school",2,1972,"Pretty happy"
"324","Less than high school",2,1972,"Pretty happy"
"325","Less than high school",2,1972,"Pretty happy"
"326","Less than high school",1,1972,"Very happy"
"327","Less than high school",2,1972,"Pretty happy"
"328","High school",2,1972,"Pretty happy"
"329","Less than high school",2,1972,"Pretty happy"
"330","Less than high school",2,1972,"Pretty happy"
"331","Less than high school",2,1972,"Pretty happy"
"332","Less than high school",2,1972,"Pretty happy"
"333","Less than high school",2,1972,"Pretty happy"
"334","High school",2,1972,"Pretty happy"
"335","High school",2,1972,"Pretty happy"
"336","Less than high school",3,1972,"Not too happy"
"337","High school",1,1972,"Very happy"
"338","Less than high school",2,1972,"Pretty happy"
"339","Less than high school",3,1972,"Not too happy"
"340","High school",2,1972,"Pretty happy"
"341","Less than high school",1,1972,"Very happy"
"342","High school",3,1972,"Not too happy"
"343","Less than high school",3,1972,"Not too happy"
"344","Less than high school",1,1972,"Very happy"
"345","Less than high school",2,1972,"Pretty happy"
"346","Graduate",1,1972,"Very happy"
"347","High school",2,1972,"Pretty happy"
"348","High school",2,1972,"Pretty happy"
"349","Less than high school",2,1972,"Pretty happy"
"350","Less than high school",2,1972,"Pretty happy"
"351","High school",2,1972,"Pretty happy"
"352","Less than high school",2,1972,"Pretty happy"
"353","High school",1,1972,"Very happy"
"354","Less than high school",3,1972,"Not too happy"
"355","Less than high school",2,1972,"Pretty happy"
"356","High school",2,1972,"Pretty happy"
"357","Bachelor's",3,1972,"Not too happy"
"358","Less than high school",2,1972,"Pretty happy"
"359","Less than high school",2,1972,"Pretty happy"
"360","High school",2,1972,"Pretty happy"
"361","Less than high school",2,1972,"Pretty happy"
"362","Less than high school",2,1972,"Pretty happy"
"363","Less than high school",2,1972,"Pretty happy"
"364","Less than high school",1,1972,"Very happy"
"365","Less than high school",1,1972,"Very happy"
"366","High school",2,1972,"Pretty happy"
"367","Less than high school",1,1972,"Very happy"
"368","Graduate",2,1972,"Pretty happy"
"369","Less than high school",2,1972,"Pretty happy"
"370","Less than high school",3,1972,"Not too happy"
"371","Less than high school",1,1972,"Very happy"
"372","High school",2,1972,"Pretty happy"
"373","High school",1,1972,"Very happy"
"374","Less than high school",2,1972,"Pretty happy"
"375","Bachelor's",1,1972,"Very happy"
"376","Less than high school",1,1972,"Very happy"
"377","Less than high school",2,1972,"Pretty happy"
"378","High school",1,1972,"Very happy"
"379","High school",2,1972,"Pretty happy"
"380","Less than high school",2,1972,"Pretty happy"
"381","Less than high school",2,1972,"Pretty happy"
"382","High school",2,1972,"Pretty happy"
"383","High school",2,1972,"Pretty happy"
"384","Less than high school",1,1972,"Very happy"
"385","High school",1,1972,"Very happy"
"386","High school",2,1972,"Pretty happy"
"387","Less than high school",3,1972,"Not too happy"
"388","High school",2,1972,"Pretty happy"
"389","High school",3,1972,"Not too happy"
"390","Bachelor's",2,1972,"Pretty happy"
"391","High school",2,1972,"Pretty happy"
"392","Less than high school",2,1972,"Pretty happy"
"393","High school",2,1972,"Pretty happy"
"394","High school",1,1972,"Very happy"
"395","Less than high school",2,1972,"Pretty happy"
"396","High school",1,1972,"Very happy"
"397","Less than high school",1,1972,"Very happy"
"398","High school",2,1972,"Pretty happy"
"399","High school",1,1972,"Very happy"
"400","Less than high school",2,1972,"Pretty happy"
"401","High school",2,1972,"Pretty happy"
"402","High school",2,1972,"Pretty happy"
"403","High school",2,1972,"Pretty happy"
"404","High school",2,1972,"Pretty happy"
"405","High school",2,1972,"Pretty happy"
"406","High school",2,1972,"Pretty happy"
"407","High school",1,1972,"Very happy"
"408","High school",2,1972,"Pretty happy"
"409","Less than high school",2,1972,"Pretty happy"
"410","High school",2,1972,"Pretty happy"
"411","Less than high school",3,1972,"Not too happy"
"412","High school",2,1972,"Pretty happy"
"413","High school",2,1972,"Pretty happy"
"414","Less than high school",3,1972,"Not too happy"
"415","High school",2,1972,"Pretty happy"
"416","Less than high school",2,1972,"Pretty happy"
"417","Less than high school",1,1972,"Very happy"
"418","Less than high school",3,1972,"Not too happy"
"419","High school",1,1972,"Very happy"
"420","High school",1,1972,"Very happy"
"421","Less than high school",1,1972,"Very happy"
"422","Less than high school",2,1972,"Pretty happy"
"423","High school",1,1972,"Very happy"
"424","High school",2,1972,"Pretty happy"
"425","High school",2,1972,"Pretty happy"
"426","Less than high school",1,1972,"Very happy"
"427","Graduate",1,1972,"Very happy"
"428","Bachelor's",2,1972,"Pretty happy"
"429","High school",2,1972,"Pretty happy"
"430","High school",1,1972,"Very happy"
"431","High school",3,1972,"Not too happy"
"432","Less than high school",1,1972,"Very happy"
"433","High school",2,1972,"Pretty happy"
"434","Bachelor's",1,1972,"Very happy"
"435","Less than high school",1,1972,"Very happy"
"436","High school",1,1972,"Very happy"
"437","Less than high school",2,1972,"Pretty happy"
"438","High school",2,1972,"Pretty happy"
"439","Less than high school",3,1972,"Not too happy"
"440","High school",3,1972,"Not too happy"
"441","Less than high school",1,1972,"Very happy"
"442","Less than high school",1,1972,"Very happy"
"443","Less than high school",1,1972,"Very happy"
"444","Less than high school",1,1972,"Very happy"
"445","Bachelor's",2,1972,"Pretty happy"
"446","Bachelor's",1,1972,"Very happy"
"447","High school",3,1972,"Not too happy"
"448","High school",1,1972,"Very happy"
"449","High school",2,1972,"Pretty happy"
"450","High school",1,1972,"Very happy"
"451","High school",2,1972,"Pretty happy"
"452","High school",2,1972,"Pretty happy"
"453","High school",3,1972,"Not too happy"
"454","High school",1,1972,"Very happy"
"455","High school",1,1972,"Very happy"
"456","High school",2,1972,"Pretty happy"
"457","High school",2,1972,"Pretty happy"
"458","Bachelor's",2,1972,"Pretty happy"
"459","High school",1,1972,"Very happy"
"460","High school",1,1972,"Very happy"
"461","High school",1,1972,"Very happy"
"462","Bachelor's",1,1972,"Very happy"
"463","High school",1,1972,"Very happy"
"464","Less than high school",3,1972,"Not too happy"
"465","Less than high school",3,1972,"Not too happy"
"466","High school",2,1972,"Pretty happy"
"467","Less than high school",1,1972,"Very happy"
"468","Less than high school",2,1972,"Pretty happy"
"469","Less than high school",2,1972,"Pretty happy"
"470","Less than high school",1,1972,"Very happy"
"471","High school",2,1972,"Pretty happy"
"472","High school",3,1972,"Not too happy"
"473","High school",2,1972,"Pretty happy"
"474","High school",1,1972,"Very happy"
"475","High school",3,1972,"Not too happy"
"476","High school",2,1972,"Pretty happy"
"477","Bachelor's",3,1972,"Not too happy"
"478","High school",2,1972,"Pretty happy"
"479","High school",2,1972,"Pretty happy"
"480","High school",1,1972,"Very happy"
"481","High school",3,1972,"Not too happy"
"482","High school",2,1972,"Pretty happy"
"483","Less than high school",1,1972,"Very happy"
"484","High school",2,1972,"Pretty happy"
"485","High school",2,1972,"Pretty happy"
"486","High school",2,1972,"Pretty happy"
"487","High school",1,1972,"Very happy"
"488","Less than high school",1,1972,"Very happy"
"489","High school",2,1972,"Pretty happy"
"490","Less than high school",2,1972,"Pretty happy"
"491","High school",1,1972,"Very happy"
"492","Less than high school",3,1972,"Not too happy"
"493","High school",2,1972,"Pretty happy"
"494","High school",2,1972,"Pretty happy"
"495","High school",3,1972,"Not too happy"
"496","Less than high school",2,1972,"Pretty happy"
"497","High school",3,1972,"Not too happy"
"498","Less than high school",2,1972,"Pretty happy"
"499","High school",2,1972,"Pretty happy"
"500","Less than high school",1,1972,"Very happy"
"501","High school",2,1972,"Pretty happy"
"502","High school",2,1972,"Pretty happy"
"503","Less than high school",3,1972,"Not too happy"
"504","High school",2,1972,"Pretty happy"
"505","Less than high school",3,1972,"Not too happy"
"506","Less than high school",2,1972,"Pretty happy"
"507","Less than high school",2,1972,"Pretty happy"
"508","Less than high school",2,1972,"Pretty happy"
"509","High school",3,1972,"Not too happy"
"510","High school",2,1972,"Pretty happy"
"511","Less than high school",2,1972,"Pretty happy"
"512","Less than high school",2,1972,"Pretty happy"
"513","Bachelor's",3,1972,"Not too happy"
"514","Less than high school",1,1972,"Very happy"
"515","Less than high school",1,1972,"Very happy"
"516","High school",1,1972,"Very happy"
"517","Less than high school",1,1972,"Very happy"
"518","High school",2,1972,"Pretty happy"
"519","Less than high school",2,1972,"Pretty happy"
"520","Less than high school",1,1972,"Very happy"
"521","High school",1,1972,"Very happy"
"522","High school",2,1972,"Pretty happy"
"523","Bachelor's",2,1972,"Pretty happy"
"524","High school",1,1972,"Very happy"
"525","High school",3,1972,"Not too happy"
"526","Less than high school",1,1972,"Very happy"
"527","High school",2,1972,"Pretty happy"
"528","High school",1,1972,"Very happy"
"529","High school",2,1972,"Pretty happy"
"530","High school",2,1972,"Pretty happy"
"531","Bachelor's",2,1972,"Pretty happy"
"532","High school",1,1972,"Very happy"
"533","High school",2,1972,"Pretty happy"
"534","Less than high school",2,1972,"Pretty happy"
"535","High school",2,1972,"Pretty happy"
"536","High school",3,1972,"Not too happy"
"537","High school",1,1972,"Very happy"
"538","High school",1,1972,"Very happy"
"539","Less than high school",3,1972,"Not too happy"
"540","Less than high school",2,1972,"Pretty happy"
"541","Less than high school",2,1972,"Pretty happy"
"542","High school",1,1972,"Very happy"
"543","Less than high school",1,1972,"Very happy"
"544","Less than high school",2,1972,"Pretty happy"
"545","Less than high school",1,1972,"Very happy"
"546","High school",2,1972,"Pretty happy"
"547","Less than high school",1,1972,"Very happy"
"548","Less than high school",2,1972,"Pretty happy"
"549","High school",2,1972,"Pretty happy"
"550","Less than high school",2,1972,"Pretty happy"
"551","Less than high school",3,1972,"Not too happy"
"552","Bachelor's",2,1972,"Pretty happy"
"553","High school",1,1972,"Very happy"
"554","Bachelor's",3,1972,"Not too happy"
"555","Associate/junior college",1,1972,"Very happy"
"556","High school",2,1972,"Pretty happy"
"557","Less than high school",2,1972,"Pretty happy"
"558","High school",3,1972,"Not too happy"
"559","Bachelor's",2,1972,"Pretty happy"
"560","Less than high school",3,1972,"Not too happy"
"561","Less than high school",2,1972,"Pretty happy"
"562","High school",3,1972,"Not too happy"
"563","High school",2,1972,"Pretty happy"
"564","Associate/junior college",2,1972,"Pretty happy"
"565","High school",2,1972,"Pretty happy"
"566","Bachelor's",2,1972,"Pretty happy"
"567","High school",2,1972,"Pretty happy"
"568","High school",2,1972,"Pretty happy"
"569","Less than high school",1,1972,"Very happy"
"570","High school",2,1972,"Pretty happy"
"571","Less than high school",2,1972,"Pretty happy"
"572","High school",2,1972,"Pretty happy"
"573","Less than high school",2,1972,"Pretty happy"
"574","High school",1,1972,"Very happy"
"575","Less than high school",2,1972,"Pretty happy"
"576","Less than high school",3,1972,"Not too happy"
"577","Less than high school",2,1972,"Pretty happy"
"578","High school",1,1972,"Very happy"
"579","Less than high school",2,1972,"Pretty happy"
"580","Less than high school",2,1972,"Pretty happy"
"581","Graduate",2,1972,"Pretty happy"
"582","High school",2,1972,"Pretty happy"
"583","High school",2,1972,"Pretty happy"
"584","Less than high school",3,1972,"Not too happy"
"585","Less than high school",1,1972,"Very happy"
"586","Less than high school",1,1972,"Very happy"
"587","Less than high school",3,1972,"Not too happy"
"588","High school",3,1972,"Not too happy"
"589","Bachelor's",3,1972,"Not too happy"
"590","High school",2,1972,"Pretty happy"
"591","High school",2,1972,"Pretty happy"
"592","High school",2,1972,"Pretty happy"
"593","High school",2,1972,"Pretty happy"
"594","Less than high school",1,1972,"Very happy"
"595","High school",3,1972,"Not too happy"
"596","High school",2,1972,"Pretty happy"
"597","Less than high school",3,1972,"Not too happy"
"598","Bachelor's",1,1972,"Very happy"
"599","Graduate",1,1972,"Very happy"
"600","High school",3,1972,"Not too happy"
"601","Bachelor's",1,1972,"Very happy"
"602","Graduate",3,1972,"Not too happy"
"603","Bachelor's",2,1972,"Pretty happy"
"604","Bachelor's",1,1972,"Very happy"
"605","High school",1,1972,"Very happy"
"606","High school",2,1972,"Pretty happy"
"607","Less than high school",2,1972,"Pretty happy"
"608","Less than high school",3,1972,"Not too happy"
"609","High school",2,1972,"Pretty happy"
"610","Less than high school",3,1972,"Not too happy"
"611","Less than high school",3,1972,"Not too happy"
"612","Less than high school",2,1972,"Pretty happy"
"613","High school",2,1972,"Pretty happy"
"614","Less than high school",2,1972,"Pretty happy"
"615","High school",3,1972,"Not too happy"
"616","Less than high school",1,1972,"Very happy"
"617","High school",2,1972,"Pretty happy"
"618","Graduate",2,1972,"Pretty happy"
"619","Less than high school",2,1972,"Pretty happy"
"620","High school",2,1972,"Pretty happy"
"621","High school",2,1972,"Pretty happy"
"622","High school",1,1972,"Very happy"
"623","High school",2,1972,"Pretty happy"
"624","Bachelor's",2,1972,"Pretty happy"
"625","High school",2,1972,"Pretty happy"
"626","Less than high school",1,1972,"Very happy"
"627","High school",1,1972,"Very happy"
"628","High school",2,1972,"Pretty happy"
"629","Bachelor's",1,1972,"Very happy"
"630","High school",1,1972,"Very happy"
"631","Less than high school",1,1972,"Very happy"
"632","Bachelor's",2,1972,"Pretty happy"
"633","Bachelor's",1,1972,"Very happy"
"634","Less than high school",2,1972,"Pretty happy"
"635","High school",1,1972,"Very happy"
"636","Less than high school",2,1972,"Pretty happy"
"637","High school",2,1972,"Pretty happy"
"638","Less than high school",2,1972,"Pretty happy"
"639","Less than high school",2,1972,"Pretty happy"
"640","Less than high school",2,1972,"Pretty happy"
"641","Less than high school",2,1972,"Pretty happy"
"642","High school",2,1972,"Pretty happy"
"643","High school",2,1972,"Pretty happy"
"644","Bachelor's",1,1972,"Very happy"
"645","High school",1,1972,"Very happy"
"646","High school",3,1972,"Not too happy"
"647","Bachelor's",1,1972,"Very happy"
"648","Bachelor's",1,1972,"Very happy"
"649","Less than high school",1,1972,"Very happy"
"650","Less than high school",1,1972,"Very happy"
"651","High school",2,1972,"Pretty happy"
"652","High school",3,1972,"Not too happy"
"653","Less than high school",2,1972,"Pretty happy"
"654","High school",2,1972,"Pretty happy"
"655","High school",2,1972,"Pretty happy"
"656","High school",1,1972,"Very happy"
"657","High school",2,1972,"Pretty happy"
"658","High school",2,1972,"Pretty happy"
"659","High school",2,1972,"Pretty happy"
"660","Less than high school",3,1972,"Not too happy"
"661","Less than high school",3,1972,"Not too happy"
"662","Less than high school",2,1972,"Pretty happy"
"663","Less than high school",2,1972,"Pretty happy"
"664","Less than high school",2,1972,"Pretty happy"
"665","High school",2,1972,"Pretty happy"
"666","Less than high school",3,1972,"Not too happy"
"667","High school",2,1972,"Pretty happy"
"668","Less than high school",2,1972,"Pretty happy"
"669","High school",2,1972,"Pretty happy"
"670","High school",2,1972,"Pretty happy"
"671","High school",2,1972,"Pretty happy"
