"id","educ","majorcol","rincome","race","sex"
241,12,NA,12,3,1
242,14,NA,11,1,1
243,7,NA,11,3,2
244,12,NA,12,1,1
245,12,NA,NA,3,1
246,17,9,12,3,2
247,13,NA,NA,1,2
248,15,NA,12,1,1
249,12,NA,12,3,2
250,16,NA,NA,1,2
251,20,NA,NA,1,1
252,14,NA,10,2,1
253,18,NA,NA,2,1
254,12,NA,12,1,1
255,12,NA,NA,2,1
256,12,NA,12,2,1
257,16,42,12,1,2
258,13,NA,NA,1,1
259,20,NA,12,1,2
260,14,NA,NA,3,1
261,20,19,12,1,2
262,13,NA,NA,1,1
263,12,NA,10,1,1
264,13,NA,3,2,2
265,17,42,9,3,2
266,16,NA,12,1,2
267,12,NA,NA,1,2
268,13,NA,NA,2,2
269,11,NA,12,1,1
270,18,NA,NA,1,2
271,18,NA,NA,1,2
272,16,42,11,1,2
273,16,25,12,1,2
274,16,NA,NA,1,1
275,13,NA,NA,1,2
276,15,NA,NA,1,1
277,20,45,12,1,2
278,16,NA,12,1,1
279,14,NA,12,1,2
280,10,NA,12,1,1
281,9,NA,NA,1,2
282,14,NA,9,1,2
283,12,NA,NA,1,2
284,13,NA,12,1,2
285,12,NA,NA,1,2
286,14,NA,12,2,1
287,14,NA,NA,2,1
288,14,NA,12,1,1
289,12,NA,12,1,2
290,17,1,12,1,2
291,19,29,12,1,1
292,16,NA,12,1,1
293,19,50,12,1,1
294,11,NA,NA,1,2
295,12,NA,12,1,1
296,12,NA,1,3,2
297,19,5,NA,1,2
298,16,NA,NA,3,2
299,16,29,NA,3,2
300,17,NA,12,2,1
301,13,NA,NA,2,2
302,9,NA,NA,2,2
303,13,NA,4,2,1
304,13,NA,3,2,1
305,14,NA,12,2,1
306,19,52,12,1,2
307,12,NA,NA,3,2
308,10,NA,8,3,2
309,16,9,NA,1,1
310,13,NA,2,3,2
311,20,NA,12,1,1
312,16,NA,NA,1,1
313,12,NA,12,1,1
314,16,19,12,1,1
315,16,NA,10,1,1
316,15,NA,12,1,1
317,12,NA,12,2,1
318,12,NA,11,1,1
319,12,NA,NA,3,1
320,16,19,NA,1,2
321,8,NA,NA,3,2
