"","Employee_status","Happy_level","Year","Happy"
"131","Someone else",2,1972,"Pretty happy"
"132","Someone else",2,1972,"Pretty happy"
"133","Someone else",2,1972,"Pretty happy"
"134","Someone else",2,1972,"Pretty happy"
"135","Someone else",1,1972,"Very happy"
"136","Someone else",1,1972,"Very happy"
"137","Someone else",2,1972,"Pretty happy"
"138","Someone else",1,1972,"Very happy"
"139","Someone else",2,1972,"Pretty happy"
"140","Someone else",2,1972,"Pretty happy"
"141","Someone else",2,1972,"Pretty happy"
"142","Someone else",2,1972,"Pretty happy"
"143","Someone else",1,1972,"Very happy"
"144","Someone else",2,1972,"Pretty happy"
"145","Someone else",2,1972,"Pretty happy"
"146","Someone else",2,1972,"Pretty happy"
"147","Someone else",2,1972,"Pretty happy"
"148","Someone else",2,1972,"Pretty happy"
"149","Someone else",1,1972,"Very happy"
"150","Someone else",2,1972,"Pretty happy"
"151","Someone else",1,1972,"Very happy"
"152","Someone else",2,1972,"Pretty happy"
"153","Someone else",1,1972,"Very happy"
"154","Someone else",1,1972,"Very happy"
"155","Someone else",1,1972,"Very happy"
"156","Someone else",1,1972,"Very happy"
"157","Someone else",2,1972,"Pretty happy"
"158","Someone else",1,1972,"Very happy"
"159","Someone else",2,1972,"Pretty happy"
"160","Someone else",2,1972,"Pretty happy"
"161","Someone else",2,1972,"Pretty happy"
"162","Someone else",2,1972,"Pretty happy"
"163","Someone else",3,1972,"Not too happy"
"164","Someone else",1,1972,"Very happy"
"165","Someone else",2,1972,"Pretty happy"
"166","Someone else",1,1972,"Very happy"
"167","Someone else",2,1972,"Pretty happy"
"168","Someone else",1,1972,"Very happy"
"169","Someone else",2,1972,"Pretty happy"
"170","Someone else",2,1972,"Pretty happy"
"171","Someone else",2,1972,"Pretty happy"
"172","Someone else",3,1972,"Not too happy"
"173","Someone else",2,1972,"Pretty happy"
"174","Someone else",1,1972,"Very happy"
"175","Someone else",2,1972,"Pretty happy"
"176","Someone else",3,1972,"Not too happy"
"177","Someone else",1,1972,"Very happy"
"178","Someone else",1,1972,"Very happy"
"179","Someone else",1,1972,"Very happy"
"180","Someone else",2,1972,"Pretty happy"
"181","Self-employed",1,1972,"Very happy"
"182","Someone else",1,1972,"Very happy"
"183","Someone else",2,1972,"Pretty happy"
"184","Someone else",2,1972,"Pretty happy"
"185","Someone else",2,1972,"Pretty happy"
"186","Someone else",1,1972,"Very happy"
"187","Someone else",2,1972,"Pretty happy"
"188","Someone else",1,1972,"Very happy"
"189","Someone else",2,1972,"Pretty happy"
"190","Someone else",1,1972,"Very happy"
"191","Someone else",2,1972,"Pretty happy"
"192","Someone else",1,1972,"Very happy"
"193","Someone else",1,1972,"Very happy"
"194","Someone else",2,1972,"Pretty happy"
"195","Someone else",3,1972,"Not too happy"
"196","Someone else",1,1972,"Very happy"
"197","Someone else",2,1972,"Pretty happy"
"198","Someone else",3,1972,"Not too happy"
"199","Someone else",2,1972,"Pretty happy"
"200","Someone else",2,1972,"Pretty happy"
"201","Someone else",2,1972,"Pretty happy"
"202","Someone else",2,1972,"Pretty happy"
"203","Self-employed",1,1972,"Very happy"
"204","Someone else",1,1972,"Very happy"
"205","Someone else",2,1972,"Pretty happy"
"206","Someone else",2,1972,"Pretty happy"
"207","Someone else",2,1972,"Pretty happy"
"208","Someone else",2,1972,"Pretty happy"
"209","Self-employed",1,1972,"Very happy"
"210","Someone else",2,1972,"Pretty happy"
"211","Someone else",2,1972,"Pretty happy"
"212","Someone else",2,1972,"Pretty happy"
"213","Someone else",2,1972,"Pretty happy"
"214","Someone else",1,1972,"Very happy"
"215","Someone else",2,1972,"Pretty happy"
"216","Someone else",1,1972,"Very happy"
"217","Someone else",3,1972,"Not too happy"
"218","Someone else",1,1972,"Very happy"
"219","Someone else",1,1972,"Very happy"
"220","Someone else",1,1972,"Very happy"
"221","Someone else",1,1972,"Very happy"
"222","Someone else",2,1972,"Pretty happy"
"223","Self-employed",2,1972,"Pretty happy"
"224","Someone else",2,1972,"Pretty happy"
"225","Self-employed",2,1972,"Pretty happy"
"226","Self-employed",2,1972,"Pretty happy"
"227","Someone else",3,1972,"Not too happy"
"228","Someone else",1,1972,"Very happy"
"229","Self-employed",1,1972,"Very happy"
"230","Someone else",1,1972,"Very happy"
"231","Someone else",1,1972,"Very happy"
"232","Someone else",2,1972,"Pretty happy"
"233","Someone else",1,1972,"Very happy"
"234","Someone else",1,1972,"Very happy"
"235","Someone else",3,1972,"Not too happy"
"236","Someone else",1,1972,"Very happy"
"237","Someone else",3,1972,"Not too happy"
"238","Someone else",2,1972,"Pretty happy"
"239","Someone else",2,1972,"Pretty happy"
"240","Someone else",2,1972,"Pretty happy"
"241","Someone else",1,1972,"Very happy"
"242","Someone else",3,1972,"Not too happy"
"243","Someone else",3,1972,"Not too happy"
"244","Someone else",1,1972,"Very happy"
"245","Someone else",1,1972,"Very happy"
"246","Someone else",1,1972,"Very happy"
"247","Someone else",2,1972,"Pretty happy"
"248","Someone else",2,1972,"Pretty happy"
"249","Someone else",2,1972,"Pretty happy"
"250","Someone else",2,1972,"Pretty happy"
"251","Someone else",2,1972,"Pretty happy"
"252","Someone else",1,1972,"Very happy"
"253","Someone else",1,1972,"Very happy"
"254","Someone else",2,1972,"Pretty happy"
"255","Someone else",2,1972,"Pretty happy"
"256","Someone else",3,1972,"Not too happy"
"257","Self-employed",3,1972,"Not too happy"
"258","Self-employed",3,1972,"Not too happy"
"259","Self-employed",2,1972,"Pretty happy"
"260","Self-employed",2,1972,"Pretty happy"
"261","Someone else",1,1972,"Very happy"
"262","Someone else",2,1972,"Pretty happy"
"263","Someone else",3,1972,"Not too happy"
"264","Someone else",2,1972,"Pretty happy"
"265","Self-employed",2,1972,"Pretty happy"
"266","Someone else",1,1972,"Very happy"
"267","Someone else",2,1972,"Pretty happy"
"268","Someone else",1,1972,"Very happy"
"269","Someone else",1,1972,"Very happy"
"270","Someone else",1,1972,"Very happy"
"271","Someone else",1,1972,"Very happy"
"272","Someone else",1,1972,"Very happy"
"273","Someone else",1,1972,"Very happy"
"274","Someone else",2,1972,"Pretty happy"
"275","Someone else",1,1972,"Very happy"
"276","Someone else",2,1972,"Pretty happy"
"277","Someone else",2,1972,"Pretty happy"
"278","Someone else",1,1972,"Very happy"
"279","Someone else",1,1972,"Very happy"
"280","Someone else",2,1972,"Pretty happy"
"281","Someone else",2,1972,"Pretty happy"
"282","Someone else",1,1972,"Very happy"
"283","Someone else",1,1972,"Very happy"
"284","Someone else",3,1972,"Not too happy"
"285","Someone else",3,1972,"Not too happy"
"286","Someone else",1,1972,"Very happy"
"287","Someone else",2,1972,"Pretty happy"
"288","Someone else",3,1972,"Not too happy"
"289","Self-employed",2,1972,"Pretty happy"
"290","Someone else",3,1972,"Not too happy"
"291","Someone else",2,1972,"Pretty happy"
"292","Someone else",3,1972,"Not too happy"
"293","Someone else",2,1972,"Pretty happy"
"294","Someone else",1,1972,"Very happy"
"295","Someone else",2,1972,"Pretty happy"
"296","Someone else",2,1972,"Pretty happy"
"297","Someone else",1,1972,"Very happy"
"298","Someone else",2,1972,"Pretty happy"
"299","Someone else",1,1972,"Very happy"
"300","Someone else",2,1972,"Pretty happy"
"301","Someone else",2,1972,"Pretty happy"
"302","Someone else",1,1972,"Very happy"
"303","Self-employed",2,1972,"Pretty happy"
"304","Someone else",2,1972,"Pretty happy"
"305","Someone else",1,1972,"Very happy"
"306","Someone else",3,1972,"Not too happy"
"307","Someone else",1,1972,"Very happy"
"308","Someone else",2,1972,"Pretty happy"
"309","Someone else",2,1972,"Pretty happy"
"310","Someone else",3,1972,"Not too happy"
"311","Someone else",2,1972,"Pretty happy"
"312","Someone else",2,1972,"Pretty happy"
"313","Someone else",1,1972,"Very happy"
"314","Someone else",1,1972,"Very happy"
"315","Someone else",2,1972,"Pretty happy"
"316","Self-employed",2,1972,"Pretty happy"
"317","Someone else",2,1972,"Pretty happy"
"318","Someone else",2,1972,"Pretty happy"
"319","Someone else",3,1972,"Not too happy"
"320","Someone else",2,1972,"Pretty happy"
"321","Someone else",2,1972,"Pretty happy"
"322","Someone else",2,1972,"Pretty happy"
"323","Someone else",2,1972,"Pretty happy"
"324","Someone else",2,1972,"Pretty happy"
"325","Self-employed",2,1972,"Pretty happy"
"326","Someone else",1,1972,"Very happy"
"327","Self-employed",2,1972,"Pretty happy"
"328","Someone else",2,1972,"Pretty happy"
"329","Self-employed",2,1972,"Pretty happy"
"330","Someone else",2,1972,"Pretty happy"
"331","Someone else",2,1972,"Pretty happy"
"332","Someone else",2,1972,"Pretty happy"
"333","Someone else",2,1972,"Pretty happy"
"334","Someone else",2,1972,"Pretty happy"
"335","Someone else",2,1972,"Pretty happy"
"336","Someone else",3,1972,"Not too happy"
"337","Someone else",1,1972,"Very happy"
"338","Self-employed",2,1972,"Pretty happy"
"339","Someone else",3,1972,"Not too happy"
"340","Someone else",2,1972,"Pretty happy"
"341","Someone else",1,1972,"Very happy"
"342","Someone else",3,1972,"Not too happy"
"343","Someone else",3,1972,"Not too happy"
"344","Self-employed",1,1972,"Very happy"
"345","Someone else",2,1972,"Pretty happy"
"346","Someone else",1,1972,"Very happy"
"347","Someone else",2,1972,"Pretty happy"
"348","Someone else",2,1972,"Pretty happy"
"349","Someone else",2,1972,"Pretty happy"
"350","Someone else",2,1972,"Pretty happy"
"351","Someone else",2,1972,"Pretty happy"
"352","Someone else",2,1972,"Pretty happy"
"353","Someone else",1,1972,"Very happy"
"354","Someone else",3,1972,"Not too happy"
"355","Someone else",2,1972,"Pretty happy"
"356","Someone else",2,1972,"Pretty happy"
"357","Someone else",3,1972,"Not too happy"
"358","Someone else",2,1972,"Pretty happy"
"359","Self-employed",2,1972,"Pretty happy"
"360","Someone else",2,1972,"Pretty happy"
"361","Someone else",2,1972,"Pretty happy"
"362","Someone else",2,1972,"Pretty happy"
"363","Self-employed",2,1972,"Pretty happy"
"364","Someone else",1,1972,"Very happy"
"365","Someone else",1,1972,"Very happy"
"366","Someone else",2,1972,"Pretty happy"
"367","Someone else",1,1972,"Very happy"
"368","Someone else",2,1972,"Pretty happy"
"369","Self-employed",2,1972,"Pretty happy"
"370","Someone else",3,1972,"Not too happy"
"371","Someone else",1,1972,"Very happy"
"372","Someone else",2,1972,"Pretty happy"
"373","Someone else",1,1972,"Very happy"
"374","Someone else",2,1972,"Pretty happy"
"375","Someone else",1,1972,"Very happy"
"376","Someone else",1,1972,"Very happy"
"377","Someone else",2,1972,"Pretty happy"
"378","Someone else",1,1972,"Very happy"
"379","Someone else",2,1972,"Pretty happy"
"380","Someone else",2,1972,"Pretty happy"
"381","Someone else",2,1972,"Pretty happy"
"382","Someone else",2,1972,"Pretty happy"
"383","Someone else",2,1972,"Pretty happy"
"384","Someone else",1,1972,"Very happy"
"385","Someone else",1,1972,"Very happy"
"386","Someone else",2,1972,"Pretty happy"
"387","Someone else",3,1972,"Not too happy"
"388","Self-employed",2,1972,"Pretty happy"
"389","Someone else",3,1972,"Not too happy"
"390","Someone else",2,1972,"Pretty happy"
"391","Self-employed",2,1972,"Pretty happy"
"392","Someone else",2,1972,"Pretty happy"
"393","Someone else",2,1972,"Pretty happy"
"394","Someone else",1,1972,"Very happy"
"395","Someone else",2,1972,"Pretty happy"
"396","Someone else",1,1972,"Very happy"
"397","Self-employed",1,1972,"Very happy"
"398","Someone else",2,1972,"Pretty happy"
"399","Self-employed",1,1972,"Very happy"
"400","Someone else",2,1972,"Pretty happy"
"401","Someone else",2,1972,"Pretty happy"
"402","Someone else",2,1972,"Pretty happy"
"403","Someone else",2,1972,"Pretty happy"
"404","Someone else",2,1972,"Pretty happy"
"405","Someone else",2,1972,"Pretty happy"
"406","Someone else",2,1972,"Pretty happy"
"407","Someone else",1,1972,"Very happy"
"408","Someone else",2,1972,"Pretty happy"
"409","Someone else",2,1972,"Pretty happy"
"410","Someone else",2,1972,"Pretty happy"
"411","Someone else",3,1972,"Not too happy"
"412","Someone else",2,1972,"Pretty happy"
"413","Someone else",2,1972,"Pretty happy"
"414","Someone else",3,1972,"Not too happy"
