"id","edu_year","employee_status","industry_sector","income","race","sex","science_course"
3,16,2,2,12,1,1,1
9,8,1,2,2,1,2,2
11,19,2,2,12,1,1,1
16,12,2,2,9,1,2,2
21,15,2,1,12,1,2,2
23,14,1,2,12,1,2,1
24,12,1,2,12,1,1,2
25,16,2,2,10,1,2,1
27,12,2,2,12,1,2,2
34,16,2,2,12,1,2,1
39,19,2,2,12,1,1,1
42,12,2,2,12,1,1,2
47,18,1,2,12,1,1,1
52,12,2,2,12,1,2,2
53,18,2,2,12,1,2,2
58,14,2,2,8,2,2,1
61,13,1,2,3,2,2,2
62,10,2,2,11,2,2,2
63,16,2,2,12,2,2,2
67,14,2,1,12,1,1,1
69,19,2,2,12,2,2,1
76,14,2,2,12,2,2,1
83,12,2,2,10,3,2,2
84,13,2,2,12,1,2,2
86,17,2,1,12,2,1,1
90,18,1,2,8,3,1,1
95,16,2,2,12,2,2,1
98,16,2,1,12,2,1,2
101,12,2,2,12,3,1,2
106,14,2,2,12,1,1,2
112,12,2,2,9,1,2,2
120,13,2,2,12,1,1,1
122,12,2,2,12,1,2,2
125,16,2,2,12,1,1,1
126,18,2,1,12,3,1,1
127,20,1,2,12,1,2,1
129,18,2,2,12,1,1,1
133,17,2,2,12,1,1,1
137,16,2,2,8,3,1,1
140,15,2,1,9,1,2,1
147,12,2,2,12,2,1,2
157,12,2,2,12,1,2,2
158,14,2,1,6,3,2,1
160,2,2,2,9,1,2,2
163,12,2,2,12,3,2,2
170,13,2,2,12,1,1,1
177,18,1,2,12,1,2,1
179,16,2,2,12,3,1,2
183,20,1,2,12,1,1,1
184,17,2,2,12,1,1,1
185,16,2,2,12,3,1,2
187,11,2,2,12,1,2,2
188,16,2,2,12,3,1,1
190,13,2,2,12,3,1,1
194,16,2,1,12,3,2,1
196,16,2,2,12,1,1,1
197,12,2,2,11,3,2,2
201,16,2,2,12,3,1,1
202,13,2,2,12,1,1,2
207,12,2,2,12,1,1,2
216,15,2,2,10,1,2,2
218,3,2,2,5,1,1,2
225,16,2,2,8,3,1,2
226,15,2,2,9,1,2,2
227,11,2,2,10,3,1,2
232,16,2,2,12,1,2,1
236,17,2,2,12,1,2,1
237,10,2,2,12,1,2,2
244,13,2,2,12,1,2,2
260,12,2,2,12,3,1,2
263,16,2,2,12,1,1,1
265,16,2,2,12,1,2,1
270,12,2,2,12,1,2,2
274,19,2,1,9,1,2,1
280,16,2,2,12,2,2,2
281,12,2,2,12,1,2,2
284,12,2,2,12,1,1,2
288,15,2,2,12,1,2,1
293,12,2,2,12,1,2,2
294,12,2,2,12,1,1,2
296,16,2,2,12,1,2,1
299,20,2,1,12,1,2,1
301,16,2,1,12,2,2,1
303,12,2,2,12,1,1,2
306,12,1,2,12,3,1,2
309,12,2,2,11,1,2,2
312,16,2,2,12,3,1,1
315,13,2,2,12,1,1,2
319,20,2,1,12,1,2,1
320,12,2,2,12,2,1,2
322,12,2,2,8,2,1,2
335,18,2,1,12,1,1,1
342,16,2,2,3,1,1,1
345,14,2,2,12,2,2,1
347,12,2,2,12,2,2,2
352,12,2,2,9,2,2,2
354,16,2,2,12,3,1,1
355,20,2,1,12,1,1,1
359,14,1,2,12,1,1,1
364,16,2,2,12,1,2,1
367,16,2,2,12,1,2,1
369,18,2,2,12,1,2,1
373,16,2,2,12,1,2,1
375,16,2,1,12,1,1,1
377,14,2,2,5,1,2,1
381,12,1,2,1,1,1,2
385,16,2,2,12,1,2,1
386,16,2,2,12,1,2,1
388,20,2,2,12,1,2,1
395,0,2,2,12,1,1,2
399,12,2,2,12,1,1,1
401,16,1,2,12,1,1,1
410,13,2,1,12,1,1,1
414,15,2,2,12,1,2,2
420,16,2,1,12,1,2,1
425,12,2,2,11,1,2,2
427,18,1,2,3,1,2,1
430,12,1,2,12,3,2,2
446,12,2,2,12,3,1,1
448,16,2,2,12,2,2,1
451,12,2,1,12,2,1,2
455,18,2,1,12,2,2,1
464,16,2,2,12,1,1,1
469,16,2,2,12,1,2,1
470,14,2,2,12,1,2,1
478,20,1,2,3,3,1,1
482,15,1,1,10,2,2,1
487,16,2,2,12,2,2,2
489,12,2,2,12,1,1,2
499,10,1,2,12,1,1,2
501,12,2,2,12,1,1,2
505,16,2,2,12,3,1,1
508,16,2,2,12,3,2,1
510,16,2,2,12,2,2,1
514,17,2,2,12,1,1,1
522,12,2,2,10,1,2,2
524,14,2,2,9,1,1,2
531,12,2,1,2,2,2,2
538,18,2,2,12,1,1,1
540,12,2,2,12,1,2,2
543,16,2,2,12,2,1,1
545,17,2,2,12,1,2,1
551,16,2,2,11,1,1,1
553,16,2,2,12,1,2,1
556,14,2,2,9,1,2,2
562,12,2,2,3,1,1,2
563,16,2,2,12,3,2,2
564,16,2,2,12,3,1,1
576,12,2,2,3,2,2,2
579,15,2,2,12,2,2,1
584,12,2,1,11,1,1,2
588,15,2,2,12,2,2,1
589,18,2,2,12,2,2,1
597,12,2,2,12,3,1,2
599,19,2,1,12,2,2,1
604,12,2,2,1,1,1,1
606,12,2,2,3,3,1,2
608,14,2,2,10,1,2,1
610,11,2,2,4,3,1,2
613,10,2,2,12,3,1,2
622,12,2,2,10,2,2,2
624,14,2,2,12,3,1,2
634,15,2,2,12,2,2,2
635,18,2,1,12,2,1,1
638,12,2,2,9,2,1,2
639,13,2,2,12,2,2,1
641,16,2,1,12,1,1,1
644,11,2,1,8,1,1,2
646,18,2,2,12,1,2,1
650,3,1,2,11,3,1,2
652,12,2,1,4,3,2,2
653,19,2,2,12,2,2,1
655,12,2,2,9,2,2,2
659,13,2,2,12,2,2,1
660,14,2,2,12,2,1,2
664,15,2,2,11,3,2,2
665,16,2,2,12,2,1,1
674,15,2,2,4,1,2,1
675,14,2,1,9,1,2,1
677,14,2,1,12,2,1,1
682,15,2,1,12,2,2,1
683,16,2,1,12,2,2,1
688,11,2,1,9,3,2,2
692,14,2,2,10,2,2,2
693,15,2,2,12,2,2,2
695,12,2,2,12,1,1,2
696,12,2,2,12,3,1,2
701,13,2,1,12,3,1,2
704,9,1,2,9,1,2,2
706,12,2,2,12,1,2,2
708,12,2,2,12,1,1,2
713,18,2,2,12,1,2,1
719,18,2,2,12,1,2,1
720,18,2,1,12,1,1,1
726,15,1,2,11,2,1,1
728,14,2,2,5,2,1,1
731,14,2,2,12,2,2,1
734,10,2,2,12,1,1,2
735,16,2,1,7,1,2,1
740,17,2,2,11,1,2,2
743,10,2,2,11,1,1,2
744,12,2,2,12,1,2,2
746,14,2,2,12,2,2,2
755,18,2,2,12,1,1,1
757,20,2,2,12,1,1,1
760,14,2,1,12,3,1,2
762,16,2,2,12,1,2,1
763,16,1,2,12,1,2,2
771,19,2,1,12,1,1,1
786,15,2,2,12,1,2,1
788,8,2,2,9,3,2,2
789,12,2,2,12,1,1,2
793,12,2,2,12,1,2,2
797,12,2,2,11,3,2,2
798,15,1,2,9,2,2,1
802,12,2,2,11,1,2,2
803,12,2,2,5,3,2,2
805,7,1,2,11,3,1,2
807,16,2,1,12,1,2,1
814,15,2,2,10,3,2,1
815,12,1,2,7,2,2,2
826,16,2,1,12,2,2,1
828,16,2,2,12,1,1,1
833,12,2,2,3,1,1,2
839,14,2,2,12,3,1,1
841,9,2,2,5,3,2,2
843,12,2,2,11,1,2,2
848,14,2,1,12,1,2,2
849,14,1,2,9,1,1,2
854,17,2,1,12,3,2,1
855,14,2,2,12,1,1,2
862,16,2,1,1,1,2,1
866,12,2,2,2,1,2,2
870,15,2,2,9,1,2,2
873,16,2,1,9,1,2,1
876,16,2,2,12,1,2,1
877,16,2,1,12,1,1,2
880,17,2,1,12,1,2,1
882,16,2,2,11,1,2,1
884,16,2,2,12,1,1,1
885,16,2,1,12,1,2,1
892,16,2,2,12,1,2,1
896,13,2,2,12,2,1,2
897,16,2,2,12,2,1,1
900,12,2,2,12,1,1,2
905,13,2,1,3,2,2,1
907,12,2,2,2,2,2,2
912,14,2,2,11,2,1,2
913,15,2,1,12,1,2,1
916,14,2,2,12,1,2,2
918,14,2,2,12,1,1,2
922,12,2,2,12,1,1,2
925,16,2,2,12,1,1,1
928,12,2,2,12,1,1,2
935,14,2,2,12,1,2,1
937,17,2,2,12,1,1,1
939,13,2,2,2,1,2,1
960,6,1,2,12,3,1,2
961,14,2,2,12,1,1,2
963,16,2,2,12,2,1,1
968,14,2,2,12,2,1,1
972,13,2,2,12,1,2,2
975,12,2,2,12,1,1,2
982,16,2,1,12,1,2,1
985,16,1,2,12,1,1,1
986,20,2,2,12,1,2,1
987,17,2,2,5,1,1,1
988,16,2,2,12,1,2,1
992,14,2,2,9,1,1,1
993,16,2,2,7,1,1,1
995,12,2,2,12,1,2,2
1000,12,2,2,12,1,2,2
1006,20,2,2,12,3,1,1
1011,14,2,2,10,1,2,1
1013,16,2,2,12,1,2,1
1014,16,2,2,12,1,2,1
1015,16,2,2,12,1,2,1
1017,13,2,2,3,1,2,1
1018,14,2,2,12,2,2,2
1019,13,2,2,12,3,1,2
1027,12,2,2,12,1,1,2
1029,12,2,2,12,1,1,2
1030,16,2,2,12,1,2,1
1031,12,2,2,12,1,1,2
1035,15,2,2,2,1,1,1
1036,10,2,2,12,1,1,2
1040,18,2,2,12,1,2,1
1043,20,2,2,12,3,1,1
1045,17,2,2,12,3,2,1
1054,13,2,2,9,1,1,2
1061,12,2,2,9,1,1,2
1064,12,2,2,12,1,2,2
1065,12,2,2,11,3,1,2
1069,13,2,2,12,3,2,2
1073,16,2,2,1,2,2,1
1074,13,2,1,1,2,2,2
1077,15,2,2,10,1,2,1
1078,16,2,2,12,1,2,1
1082,13,2,2,12,1,1,2
1089,14,1,2,12,1,1,2
1091,16,2,2,12,1,1,1
1098,17,2,2,12,1,1,1
1099,13,2,2,12,2,2,2
1101,9,2,2,5,1,1,2
1107,13,2,2,12,2,1,2
1111,12,2,2,12,1,2,2
1114,15,2,2,9,1,1,1
1115,12,2,2,1,1,1,2
1117,15,2,2,11,2,2,1
1119,12,2,2,12,2,2,2
1122,12,2,2,6,3,2,2
1123,16,2,2,12,1,1,1
1125,15,2,2,4,1,1,1
1127,15,2,2,4,1,2,1
1130,16,2,2,12,1,1,1
1138,12,2,2,12,3,1,2
1142,14,2,2,12,2,2,1
1143,12,2,2,11,1,1,1
1151,9,2,2,12,3,1,2
1153,17,2,1,1,1,1,1
1154,12,2,2,11,2,1,2
1156,16,1,2,12,3,2,1
1158,14,2,2,12,1,1,1
1160,16,2,1,12,3,1,1
1170,16,2,2,12,1,1,1
1171,16,2,2,12,1,1,1
1172,12,2,2,12,1,2,2
1173,12,2,2,1,1,1,2
1176,12,1,2,12,1,2,2
1177,13,2,2,12,1,1,1
1182,13,2,2,12,1,1,1
1189,12,2,2,12,1,2,2
1190,16,2,2,12,1,2,1
1200,11,2,2,7,1,2,2
1204,16,2,1,12,1,2,1
1212,15,2,2,12,1,1,1
1213,12,2,2,12,1,1,2
1217,14,2,2,12,1,2,2
1223,11,1,2,12,1,1,2
1226,20,2,1,12,2,2,1
1228,13,2,2,12,1,2,2
1230,15,2,2,8,1,2,1
