"id","edu_year","major","income","race","sex"
2326,19,9,12,1,2
2332,15,36,1,3,2
2336,17,36,12,1,2
2337,16,9,12,1,1
2340,18,9,12,1,1
2341,20,50,12,1,2
2349,18,9,12,1,1
2354,19,9,12,1,2
2355,16,14,12,1,1
2358,16,15,12,1,2
2368,18,9,12,1,2
2380,20,82,9,1,2
2393,14,29,12,1,2
2412,20,19,12,3,2
2414,16,16,12,1,1
2415,16,62,12,1,2
2421,14,53,12,1,2
2434,16,36,11,1,1
2438,16,58,6,1,2
2442,16,52,4,1,2
2443,17,11,2,1,1
2456,14,72,12,1,1
2463,19,42,12,1,2
2467,20,40,12,1,2
2477,16,8,12,1,2
2520,14,31,12,1,2
2532,17,80,12,1,1
2535,15,14,12,1,2
2543,17,16,12,3,2
2556,16,18,12,1,1
2563,14,9,12,1,1
2569,15,34,12,1,2
2572,18,9,12,1,1
2626,14,19,12,1,2
2627,14,9,5,1,2
2628,18,18,12,1,1
2630,18,9,11,1,2
2632,16,18,12,3,1
2633,17,9,10,2,1
2667,17,16,12,1,2
2669,20,82,12,3,2
2679,16,59,12,1,1
2686,14,39,12,1,2
2696,16,18,12,1,1
2698,20,16,12,1,2
2706,16,9,12,1,2
2717,20,16,12,1,2
2724,16,9,12,1,2
2728,18,24,12,1,1
2731,16,18,12,1,1
2736,15,55,12,1,2
2740,18,45,12,1,2
2754,15,36,12,1,2
2777,19,9,12,2,2
2818,16,18,12,1,1
2837,16,22,12,1,1
2839,16,9,12,1,2
2854,16,59,3,1,1
2857,15,36,12,1,2
2859,15,55,12,1,2
2863,20,21,12,1,2
